Distance,Gray_Value
0,10333.199
0.1315,11047.868
0.263,11476.835
0.3945,10125.532
0.526,8793.445
0.6575,7397.744
0.789,8482.9
0.9205,10598.862
1.052,16968.986
1.1835,28094.811
1.315,33923.648
1.4465,28305.885
1.578,20605.264
1.7095,23459.432
1.841,32071.705
1.9725,32170.779
2.104,22981.934
2.2355,18245.43
2.367,15230.938
2.4985,11022.893
2.63,9441.347
2.7615,9277.653
2.893,9670.54
3.0245,10921.517
3.156,11773.075
3.2875,12406.557
3.419,10931.975
3.5505,9021.056
3.682,7668.088
3.8135,7060.039
3.945,8318.37
4.0765,7951.355
4.208,6939.786
4.3395,7064.815
4.471,6228.338
4.6025,5207.634
4.734,4510.723
4.8655,6351.752
4.997,8528.547
5.1285,8559.727
5.26,7438.259
5.3915,8471.602
5.523,13499.376
5.6545,20784.014
5.786,19379.629
5.9175,13617.382
6.049,8636.402
6.1805,6491.771
6.312,5274.852
6.4435,4902.708
6.575,4543.116
6.7065,6318.482
6.838,5298.422
6.9695,4254.433
7.101,4432.094
7.2325,4326.679
7.364,4523.642
7.4955,5179.411
7.627,4892.43
7.7585,5318.737
7.89,8636.654
8.0215,11602.599
8.153,17412.518
8.2845,19301.602
8.416,14865.414
8.5475,15661.029
8.679,23424.152
8.8105,33721.715
8.942,38638.688
9.0735,35804.734
9.205,32690.057
9.3365,29283.68
9.468,21780.514
9.5995,13476.514
9.731,9711.9
9.8625,10167.905
9.994,13695.843
10.1255,18856.088
10.257,23928.248
10.3885,29600.145
10.52,38561.555
10.6515,43044.305
10.783,40979.918
10.9145,30117.057
11.046,18144.541
11.1775,12490.879
11.309,10561.244
11.4405,12146.291
11.572,12955.943
11.7035,11722.703
11.835,9345.481
11.9665,9906.768
12.098,14405.554
12.2295,22095.887
12.361,26500.432
12.4925,23825.314
12.624,21630.539
12.7555,17218.67
12.887,10790.605
13.0185,7551.211
13.15,7302.456
13.2815,8543.048
13.413,10116.666
13.5445,12832.42
13.676,16291.867
13.8075,14473.191
13.939,13431.197
14.0705,10168.248
14.202,9436.717
14.3335,7482.408
14.465,6072.07
14.5965,6865.606
14.728,7600.179
14.8595,8782.242
14.991,11841.835
15.1225,19962.445
15.254,30460.904
15.3855,30731.971
15.517,24173.975
15.6485,17204.994
15.78,13724.736
15.9115,12690.343
16.043,13581.004
16.1745,14466.063
16.306,15394.607
16.4375,14712.946
16.569,12071.63
16.7005,9459.716
16.832,10454.668
16.9635,13854.307
17.095,18580.004
17.2265,24652.369
17.358,27083.625
17.4895,22542.76
17.621,16948.184
17.7525,11979.72
17.884,10589.45
18.0155,13608.758
18.147,19300.699
18.2785,27291.842
18.41,33545.992
18.5415,26034.809
18.673,13767.826
18.8045,7806.321
18.936,6139.344
19.0675,5072.046
19.199,4408.473
19.3305,4136.166
19.462,4012.899
19.5935,4747.015
19.725,5923.233
19.8565,7680.559
19.988,7571.63
20.1195,5683.925
20.251,4342.443
20.3825,3129.579
20.514,3228.696
20.6455,3937.989
20.777,4372.688
20.9085,3408.794
21.04,2611.055
21.1715,2732.134
21.303,4047.198
21.4345,4761.925
21.566,4589.866
21.6975,4571.937
21.829,3931.967
21.9605,4133.641
22.092,4819.391
22.2235,6575.35
22.355,10068.885
22.4865,10632.166
22.618,7791.173
22.7495,5782.331
22.881,5693.123
23.0125,8833.709
23.144,11625.036
23.2755,14515.026
23.407,15869.282
23.5385,16906.893
23.67,15973.716
23.8015,17468.648
23.933,21759.576
24.0645,21077.961
24.196,17869.691
24.3275,14280.261
24.459,11740.247
24.5905,9535.986
24.722,7627.234
24.8535,7335.424
24.985,9365.718
25.1165,9204.652
25.248,6496.418
25.3795,5456.958
25.511,6294.356
25.6425,7327.604
25.774,6666.837
25.9055,5976.022
26.037,6429.269
26.1685,6510.467
26.3,5925.418
26.4315,6133.652
26.563,8186.811
26.6945,10964.225
26.826,12071.901
26.9575,10894.048
27.089,7580.535
27.2205,6983.183
27.352,10169.196
27.4835,17237.797
27.615,30655.498
27.7465,34488.488
27.878,30942.246
28.0095,25933.723
28.141,21185.416
28.2725,15506.024
28.404,22118.965
28.5355,34961.316
28.667,37842.578
28.7985,27013.648
28.93,16806.17
29.0615,11630.005
29.193,8856.288
29.3245,7862.973
29.456,10861.825
29.5875,13160.401
29.719,16745.893
29.8505,12484.094
29.982,9036.264
30.1135,7859.034
30.245,8755.743
30.3765,9890.862
30.508,11591.501
30.6395,15079.855
30.771,15728.615
30.9025,12987.51
31.034,8741.086
31.1655,7989.231
31.297,8535.879
31.4285,11306.605
31.56,11388.995
31.6915,9301.993
31.823,7880.07
31.9545,8840.051
32.086,11812.739
32.2175,13373.878
32.349,11050.71
32.4805,9935.328
32.612,7084.469
32.7435,6550.94
32.875,8594.434
33.0065,10848.927
33.138,14373.737
33.2695,29190.924
33.401,38462.863
33.5325,32176.422
33.664,15552.827
33.7955,8959.93
