Distance,Gray_Value
0,1440.94
0.1315,1576.94
0.263,1779.54
0.3945,1919.981
0.526,2117.1
0.6575,1672.91
0.789,1262.529
0.9205,1877.429
1.052,4145.132
1.1835,7637.615
1.315,12133.787
1.4465,17507.453
1.578,22953.004
1.7095,21312.65
1.841,18584.303
1.9725,14375.738
2.104,16569.334
2.2355,20749.797
2.367,23560.764
2.4985,19074.885
2.63,12479.264
2.7615,7007.268
2.893,3108.661
3.0245,2049.762
3.156,1594.946
3.2875,1813.473
3.419,2377.596
3.5505,3699.62
3.682,7595.46
3.8135,9371.377
3.945,9129.679
4.0765,6641.111
4.208,6171.181
4.3395,5664.267
4.471,4479.37
4.6025,2674.268
4.734,1347.943
4.8655,1119.333
4.997,709.631
5.1285,655.036
5.26,1031.796
5.3915,1373.105
5.523,1173.205
5.6545,1518.632
5.786,1432.289
5.9175,850.89
6.049,728.89
6.1805,699.305
6.312,1008.877
6.4435,1855.636
6.575,2383.846
6.7065,2226.663
6.838,2055.374
6.9695,2107.432
7.101,2866.719
7.2325,3086.234
7.364,2061.46
7.4955,1226.858
7.627,926.469
7.7585,984.363
7.89,1040.014
8.0215,1144.488
8.153,1036.038
8.2845,1318.001
8.416,1435.632
8.5475,1003.542
8.679,667.169
8.8105,552.636
8.942,648.176
9.0735,1133.161
9.205,1475.547
9.3365,1529
9.468,2300.298
9.5995,5439.081
9.731,10191.844
9.8625,13512.842
9.994,12718.979
10.1255,8770.199
10.257,5791.728
10.3885,6411.947
10.52,10781.786
10.6515,17549.434
10.783,18389.992
10.9145,13848.425
11.046,7052.567
11.1775,3500.592
11.309,2689.93
11.4405,2232.999
11.572,1860.485
11.7035,1792.614
11.835,1697.606
11.9665,1856.631
12.098,1930.843
12.2295,1685.093
12.361,1273.058
12.4925,885.434
12.624,793.103
12.7555,1106.718
12.887,2259.447
13.0185,7507.489
13.15,14717.922
13.2815,19316.602
13.413,19044.131
13.5445,16646.973
13.676,16149.557
13.8075,22154.867
13.939,24026.328
14.0705,21806.25
14.202,17452.703
14.3335,14122.055
14.465,10560.969
14.5965,7725.735
14.728,5236.817
14.8595,3620.244
14.991,2287.571
15.1225,1817.692
15.254,1711.436
15.3855,1336.605
15.517,850.77
15.6485,567.213
15.78,400.214
15.9115,398.296
16.043,452.251
16.1745,753.12
16.306,875.875
16.4375,1066.755
16.569,945.514
16.7005,981.886
16.832,853.746
16.9635,714.363
17.095,794.411
17.2265,1271.446
17.358,1684.352
17.4895,3728.396
17.621,10009.031
17.7525,20464.092
17.884,27509.135
18.0155,27945.305
18.147,23410.139
18.2785,14897.795
18.41,6446.281
18.5415,2788.665
18.673,1789.932
18.8045,1709.006
18.936,1594.385
19.0675,1386.828
19.199,1697.308
19.3305,2118.041
19.462,1401.521
19.5935,826.463
19.725,711.998
19.8565,684.76
19.988,646.255
20.1195,472.807
20.251,827.281
20.3825,1420.996
20.514,2685.764
20.6455,6047.469
20.777,10443.664
20.9085,13682.789
21.04,13296.501
21.1715,11958.434
21.303,7678.634
21.4345,3528.021
21.566,2443.612
21.6975,2036.93
21.829,1483.951
21.9605,1070.379
22.092,912.801
22.2235,833.308
22.355,971.62
22.4865,1152.308
22.618,1142.596
22.7495,1188.598
22.881,1397.764
23.0125,2058.849
23.144,1735.53
23.2755,1053.788
23.407,687.819
23.5385,770.57
23.67,1059.288
23.8015,1065.242
23.933,855.353
24.0645,732.758
24.196,718.447
24.3275,1441.868
24.459,2158.804
24.5905,2726.629
24.722,4073.539
24.8535,3482.802
24.985,2564.91
25.1165,2264.864
25.248,2380.277
25.3795,1396.911
25.511,693.976
25.6425,666.15
25.774,981.386
25.9055,1448.936
26.037,2418.348
26.1685,3138.494
26.3,3025.244
26.4315,2587.974
26.563,1935.376
26.6945,1987.282
26.826,2261.326
26.9575,2119.861
27.089,1595.399
27.2205,1382.032
27.352,1169.367
27.4835,1108.374
27.615,2045.177
27.7465,3201.105
27.878,6391.245
28.0095,11523.605
28.141,16300.688
28.2725,14110.538
28.404,8837.591
28.5355,7278.776
28.667,4573.218
28.7985,2070.969
28.93,1172.98
29.0615,900.871
29.193,1193.549
29.3245,1990.209
29.456,3486.735
29.5875,3905.369
29.719,3563.125
29.8505,3270.911
29.982,4551.536
30.1135,4333.816
30.245,3640.205
30.3765,2465.492
30.508,1729.118
30.6395,1118.392
30.771,820.676
30.9025,835.528
31.034,1213.062
31.1655,1760.5
31.297,1601.396
31.4285,2034.417
31.56,3119.553
31.6915,4832.95
31.823,6075.314
31.9545,5684.316
32.086,3919.859
32.2175,2436.034
32.349,1319.143
32.4805,941.048
32.612,1165.205
32.7435,1700.893
32.875,2023.565
33.0065,2108.872
33.138,2010.102
33.2695,2243.578
33.401,3321.093
33.5325,6089.105
33.664,6825.65
33.7955,3641.601
33.927,1714.757
34.0585,784.9
34.19,508.599
34.3215,636.95
34.453,702.016
34.5845,985.849
34.716,1310.011
34.8475,971.225
34.979,654.303
35.1105,417.189
35.242,604.587
35.3735,867.157
35.505,912.581
35.6365,1011.623
35.768,1135.545
35.8995,840.872
36.031,1356.464
36.1625,1353.602
36.294,1307.995
36.4255,1086.24
36.557,1336.851
36.6885,1853.407
36.82,2528.353
36.9515,3249.441
37.083,4432.217
37.2145,5549.92
37.346,4628.105
37.4775,1866.712
37.609,1011.271
37.7405,1065.67
37.872,1072.763
38.0035,1116.675
38.135,1581.073
38.2665,2707.094
38.398,3698.558
38.5295,3089.219
38.661,3443.497
38.7925,4228.825
38.924,3688.011
39.0555,1839.8
39.187,609.147
39.3185,431.443
39.45,388.341
39.5815,576.648
39.713,1088.092
39.8445,1359.923
39.976,780.386
40.1075,412.083
40.239,509.816
40.3705,938.97
40.502,1559.05
40.6335,2464.721
40.765,1943.663
40.8965,1840.853
