Distance,Gray_Value
0,3412.77
0.1315,7284.877
0.263,15646.235
0.3945,22021.52
0.526,23270.631
0.6575,21001.168
0.789,16981.432
0.9205,11954.249
1.052,7643.169
1.1835,5111.097
1.315,3281.768
1.4465,2685.491
1.578,1846.883
1.7095,947.385
1.841,865.993
1.9725,1077.981
2.104,2524.083
2.2355,3862.347
2.367,4741.145
2.4985,4378.34
2.63,2975.932
2.7615,2422.704
2.893,2378.511
3.0245,2108.264
3.156,1255.709
3.2875,710.284
3.419,701.708
3.5505,791.165
3.682,1011.556
3.8135,1487.802
3.945,1583.462
4.0765,1103.802
4.208,864.173
4.3395,829.273
4.471,909.165
4.6025,1012.301
4.734,1030.046
4.8655,1633.149
4.997,2261.69
5.1285,1789.218
5.26,2338.63
5.3915,3904.255
5.523,6501.966
5.6545,9838.027
5.786,12800.627
5.9175,14609.501
6.049,18650.867
6.1805,24359.188
6.312,23560.844
6.4435,16597.439
6.575,7895.14
6.7065,3334.853
6.838,2203.956
6.9695,2482.157
7.101,2923.1
7.2325,3275.576
7.364,2749.801
7.4955,1486.471
7.627,913.771
7.7585,812.276
7.89,599.995
8.0215,336.558
8.153,278.508
8.2845,271.529
8.416,402.667
8.5475,771.375
8.679,497.901
8.8105,449.584
8.942,320.982
9.0735,248.022
9.205,231.942
9.3365,221.543
9.468,243.299
9.5995,250.919
9.731,415.905
9.8625,905.661
9.994,1242.113
10.1255,1076.404
10.257,488.804
10.3885,653.082
10.52,930.808
10.6515,653.723
10.783,341.902
10.9145,166.583
11.046,461.423
11.1775,552.664
11.309,505.495
11.4405,401.441
11.572,336.242
11.7035,403.457
11.835,1133.724
11.9665,2053.275
12.098,3569.857
12.2295,3890.052
12.361,3685.886
12.4925,2363.079
12.624,2279.9
12.7555,1789.464
12.887,2293.75
13.0185,4187.679
13.15,7693.194
13.2815,16288.049
13.413,26924.551
13.5445,32529.404
13.676,24363.523
13.8075,13246.281
13.939,5488.179
14.0705,1829.675
14.202,766.229
14.3335,675.844
14.465,924.748
14.5965,1214.575
14.728,1126.401
14.8595,1100.351
14.991,1331.463
15.1225,947.816
15.254,694.942
15.3855,489.447
15.517,402.892
15.6485,559.849
15.78,804.249
15.9115,1360.536
16.043,1569.014
16.1745,1455.013
16.306,772.844
16.4375,776.494
16.569,754.983
16.7005,805.082
16.832,1074.797
16.9635,1151.537
17.095,2305.781
17.2265,4547.584
17.358,8426.527
17.4895,10958.806
17.621,11596.288
17.7525,11448.103
17.884,13080.022
18.0155,19280.83
18.147,17264.037
18.2785,15017.728
18.41,10155.065
18.5415,5925.218
18.673,3589.066
18.8045,2533.588
18.936,2034.03
19.0675,1580.913
19.199,2099.957
19.3305,2163.389
19.462,2171.703
19.5935,1851.035
19.725,1520.589
19.8565,1397.534
19.988,1351.452
20.1195,1246.897
20.251,1302.606
20.3825,1441.446
20.514,1339.2
20.6455,1249.633
20.777,1275.153
20.9085,972.878
21.04,924.994
21.1715,1063.131
21.303,1521.312
21.4345,1351.698
21.566,1036.598
21.6975,803.911
21.829,1652.294
21.9605,3807.638
22.092,8168.887
22.2235,14051.027
22.355,20054.633
22.4865,19731.482
22.618,14559.064
22.7495,10718.279
22.881,7456.734
23.0125,4035.496
23.144,2229.924
23.2755,1778.622
23.407,1571.956
23.5385,1937.462
23.67,1347.344
23.8015,970.615
23.933,1297.378
24.0645,1578.893
24.196,2112.217
24.3275,1970.822
24.459,1080.582
24.5905,466.951
24.722,433.186
24.8535,389.556
24.985,354.544
25.1165,368.128
25.248,494.051
25.3795,695.293
25.511,796.144
25.6425,946.452
25.774,1276.115
25.9055,2005.586
26.037,1895.3
26.1685,1524.244
26.3,1327.248
26.4315,948.192
26.563,697.671
26.6945,486.019
26.826,571.932
26.9575,790.986
27.089,1009.776
27.2205,739.363
27.352,312.999
27.4835,301.395
27.615,589.366
27.7465,1108.458
27.878,839.345
28.0095,1174.571
28.141,864.89
28.2725,782.829
28.404,748.578
28.5355,907.353
28.667,1073.184
28.7985,617.136
28.93,654.707
29.0615,1337.165
29.193,1622.477
29.3245,1467.965
29.456,1309.547
29.5875,809.81
29.719,660.36
29.8505,630.794
29.982,414.215
30.1135,334.536
30.245,232.337
30.3765,613.555
30.508,1248.845
30.6395,2742.239
30.771,3356.39
30.9025,2592.815
31.034,1594.595
31.1655,1016.744
31.297,545.786
31.4285,645.505
31.56,536.09
31.6915,622.122
31.823,566.988
31.9545,267.698
32.086,270.611
32.2175,324.754
32.349,505.271
32.4805,572.468
32.612,773.302
32.7435,634.47
32.875,637.618
33.0065,1520.065
33.138,3331.607
33.2695,6581.753
33.401,8736.331
33.5325,8382.79
33.664,5966.471
33.7955,3544.276
33.927,2971.778
34.0585,4929.65
34.19,7412.33
34.3215,9582.295
34.453,10099.799
34.5845,9827.375
34.716,9575.149
34.8475,8926.909
34.979,7101.713
35.1105,6229.357
35.242,5829.38
35.3735,4679.317
35.505,3094.821
35.6365,1483.229
35.768,844.524
35.8995,302.641
36.031,244.918
36.1625,156.849
36.294,170.293
36.4255,191.241
36.557,75.319
36.6885,241.324
36.82,192.348
36.9515,297.512
37.083,448.735
37.2145,614.971
37.346,885.715
37.4775,828.023
37.609,524.136
37.7405,341.625
37.872,249.954
38.0035,576.175
38.135,853.486
38.2665,595.453
38.398,471.873
38.5295,252.146
38.661,244.354
38.7925,362.182
38.924,576.643
39.0555,431.013
39.187,171.673
39.3185,130.391
39.45,246.433
39.5815,381.905
39.713,1061.24
39.8445,1160.6
39.976,777.335
40.1075,414.751
40.239,296.757
40.3705,277.823
40.502,326.594
40.6335,183.43
40.765,333.722
40.8965,497.983
41.028,292.824
41.1595,284.479
41.291,361.105
41.4225,216.074
41.554,366.454
41.6855,529.943
41.817,472.742
41.9485,691.073
42.08,681.459
42.2115,600.705
42.343,290.095
42.4745,174.117
42.606,317.438
42.7375,891.842
42.869,1762.325
43.0005,3564.667
43.132,9153.524
43.2635,19305.016
43.395,26188.938
43.5265,25990.881
43.658,21274.842
43.7895,19405.137
43.921,13424.923
44.0525,6495.183
44.184,2484.431
44.3155,1304.216
44.447,783.888
44.5785,819.724
44.71,1103.514
44.8415,1051.707
44.973,623.376
45.1045,341.539
45.236,208.889
45.3675,266.14
45.499,203.559
45.6305,294.826
45.762,313.387
45.8935,387.878
46.025,232.492
46.1565,296.102
46.288,765.032
46.4195,1717.146
46.551,3430.885
46.6825,4678.163
46.814,4511.728
46.9455,5153.587
47.077,4993.141
47.2085,4727.236
47.34,5057.036
47.4715,5195.924
47.603,4689.072
47.7345,3340.445
47.866,1731.237
47.9975,1498.332
48.129,1739.72
48.2605,1271.164
48.392,842.855
48.5235,586.146
48.655,716.849
48.7865,517.012
48.918,390.647
49.0495,495.033
49.181,364.613
49.3125,226.668
49.444,313.018
49.5755,269.332
49.707,339.451
49.8385,559.585
49.97,745.855
50.1015,561.38
50.233,992.309
50.3645,1016.427
50.496,1070.556
50.6275,796.734
50.759,1407.124
50.8905,1786.108
51.022,1754.149
51.1535,1494.541
51.285,1571.365
51.4165,987.102
51.548,389.616
51.6795,323.522
51.811,489.89
51.9425,762.26
52.074,960.958
52.2055,1092.599
52.337,1048.632
52.4685,826.557
52.6,526.604
52.7315,644.611
52.863,1384.354
52.9945,2169.955
53.126,3875.858
53.2575,6472.112
53.389,10230.726
53.5205,11072.595
53.652,8887.409
53.7835,4915.672
53.915,1856.018
54.0465,541.683
54.178,279.326
54.3095,405.525
54.441,759.788
54.5725,769.305
54.704,648.71
54.8355,742.079
54.967,991.012
55.0985,1478.902
55.23,2591.512
55.3615,4402.84
55.493,7816.415
55.6245,10094.934
55.756,9979.993
55.8875,6913.001
56.019,5256.307
56.1505,3307.063
56.282,1626.894
56.4135,827.008
56.545,659.542
56.6765,685.07
56.808,909.021
56.9395,853.26
57.071,1003.492
57.2025,980.879
57.334,996.874
57.4655,1734.543
57.597,3299.505
57.7285,3746.822
57.86,3062.028
57.9915,2020.974
58.123,1906.982
58.2545,2128.825
58.386,3625.711
58.5175,4897.302
58.649,5031.596
58.7805,6031.556
58.912,8099.037
59.0435,11010.855
59.175,8606.583
59.3065,4475.343
59.438,1704.315
59.5695,821.022
