,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
x1,1.578,1.7095,1.841,1.9725,2.104,2.63,2.7615,2.893,3.0245,3.156,3.2875,3.419,3.5505,4.734,4.8655,4.997,6.7065,6.838,9.994,10.1255,10.257,10.3885,10.52,10.6515,10.783,10.9145,11.046,11.1775,11.309,14.8595,14.991,15.1225,15.517,16.043,16.1745,18.147,18.2785,18.41,21.6975,21.829,21.9605,23.2755,23.407,23.5385,23.67,23.8015,24.196,24.3275,24.459,24.5905,24.722,25.9055,26.037
y1,3897.053,5424.331,6533.169,5108.262,3665.492,4576.512,7737.83,16238.836,21722.818,17404.137,11848.453,7574.721,4372.422,3688.995,4797.907,4738.517,4075.944,4534.981,4143.169,4887.774,5677.896,6119.818,6245.729,8391.741,14443.589,22476.512,25316.879,17823.805,7406.313,4998,5282.406,4561.783,4158.174,4215.896,4089.757,3671.696,5398.221,4344.5,4075.082,4784.691,4881.843,4183.237,6958.545,10498.492,8857.259,5510.998,3760.729,6017.188,9633.432,9535.123,6481.745,4431.182,4457.006
xc1,1.841,3.0245,4.8655,6.838,11.046,14.991,16.043,18.2785,21.9605,23.5385,24.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yc1,6533.169,21722.818,4797.907,4534.981,25316.879,5282.406,4215.896,5398.221,4881.843,10498.492,9633.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2,3.5505,3.682,3.8135,3.945,4.0765,4.208,4.3395,4.471,4.6025,4.734,4.8655,4.997,5.6545,9.468,9.5995,9.731,10.52,10.6515,10.783,10.9145,11.046,11.1775,11.309,13.413,13.5445,13.676,14.728,14.8595,14.991,15.1225,15.254,15.3855,15.517,15.6485,18.8045,18.936,19.0675,19.199,19.3305,20.1195,20.3825,23.5385,23.67,,,,,,,,,,
y2,4816.187,5493.448,5609.567,5751.183,6713.976,7587.64,7097.265,7279.702,7377.822,7657.884,6502.797,5223.635,4609.004,4974.641,5013.771,4825.941,4571.559,6218.777,8948.252,11896.027,11650.793,7935.976,4718.882,5577.538,6471.406,6340.692,4661.419,6363.882,8298.587,7458.133,6503.425,5924.2,6048.529,4477.351,6580.325,9963.844,12098.871,11452.433,8636.375,4625.536,4447.959,5596.255,4601.522,,,,,,,,,,
xc2,4.208,4.734,9.5995,10.9145,13.5445,14.991,15.517,19.0675,23.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yc2,7587.64,7657.884,5013.771,11896.027,6471.406,8298.587,6048.529,12098.871,5596.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,1.1835,0.1315,1.4465,0.1315,0,0.789,0,0.9205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
