Offset1,Offset2,Offset3,Offset4,Offset5,Offset6,Offset7,Offset8,Offset9
0,1.1835,,,,,,,
0.1315,0.1315,,,,,,,
0.1315,1.4465,,,,,,,
1.1835,0.1315,,,,,,,
0.1315,0,,,,,,,
0.3945,0.789,,,,,,,
0.1315,0,,,,,,,
0.6575,0.9205,,,,,,,
0.1315,,,,,,,,
0.1315,,,,,,,,
0,,,,,,,,
0.1315,,,,,,,,
0.1315,,,,,,,,
