Distance,Gray_Value
0,4586.036
0.1315,4353.692
0.263,3968.861
0.3945,3406.297
0.526,3639.824
0.6575,4398.557
0.789,4019.554
0.9205,2921.951
1.052,2591.38
1.1835,2911.309
1.315,2493.745
1.4465,2653.218
1.578,3506.313
1.7095,3417.125
1.841,2733.022
1.9725,2549.335
2.104,2329.494
2.2355,1717.752
2.367,1570.331
2.4985,2019.533
2.63,2595.992
2.7615,3721.33
2.893,5056.177
3.0245,4200.934
3.156,2401.207
3.2875,1642.289
3.419,2090.393
3.5505,3141.727
3.682,3465.059
3.8135,3402.38
3.945,3217.393
4.0765,2904.967
4.208,3387.674
4.3395,3876.841
4.471,3727.015
4.6025,3999.675
4.734,4157.273
4.8655,4517.13
4.997,5058.247
5.1285,4274.871
5.26,2445.723
5.3915,1524.78
5.523,1269.424
5.6545,1067.615
5.786,1309.565
5.9175,1652.137
6.049,1640.158
6.1805,1905.286
6.312,2108.318
6.4435,2360.608
6.575,4504.993
6.7065,7389.55
6.838,7724.792
6.9695,5701.666
7.101,3759.586
7.2325,4387.811
7.364,6295.784
7.4955,8142.148
7.627,8196.429
7.7585,6608.678
7.89,5982.679
8.0215,5372.805
8.153,4297.568
8.2845,2872.753
8.416,2186.621
8.5475,1421.758
8.679,1269.651
8.8105,1583.65
8.942,1370.766
9.0735,1057.475
9.205,945.898
9.3365,1554.034
9.468,2000.565
9.5995,2384.234
9.731,2170.815
9.8625,2432.722
9.994,2337.83
10.1255,2399.38
10.257,2148.855
10.3885,2374.6
10.52,3927.206
10.6515,6385.285
10.783,5891.837
10.9145,3587.941
11.046,2662.759
11.1775,2960.474
11.309,3262.944
11.4405,3110.589
11.572,2902.972
11.7035,3733.642
11.835,3655.359
11.9665,2360.528
12.098,1119.135
12.2295,1173.43
12.361,1855.631
12.4925,2305.553
12.624,2404.877
12.7555,2056.222
12.887,2392.767
13.0185,2449.147
13.15,1916.087
13.2815,1815.326
13.413,1177.885
13.5445,998.325
13.676,1076.119
13.8075,1668.49
13.939,2774.968
14.0705,2553.152
14.202,2241.493
14.3335,2173.186
14.465,1937.623
14.5965,1463.795
14.728,1826.979
14.8595,1929.333
14.991,2232.676
15.1225,2104.653
15.254,1328.12
15.3855,972.745
15.517,776.107
15.6485,1043.803
15.78,1248.371
15.9115,1204.211
16.043,964.622
16.1745,952.911
16.306,1250.019
16.4375,1282.327
16.569,1240.897
16.7005,1514.678
16.832,1669.036
16.9635,1280.614
17.095,1305.834
17.2265,1442.652
17.358,1582.784
17.4895,2195.21
17.621,2652.615
17.7525,2527.901
17.884,2321.261
18.0155,1855.762
18.147,1546.627
18.2785,1305.662
18.41,1232.249
18.5415,1196.493
18.673,1738.246
18.8045,2178.206
18.936,2341.785
19.0675,2292.612
19.199,1925.114
19.3305,1557.284
19.462,2071.048
19.5935,2687.033
19.725,2386.168
19.8565,2001.052
19.988,1844.938
20.1195,1387.012
20.251,891.184
20.3825,1060.954
20.514,1759.787
20.6455,2754.491
20.777,2473.861
20.9085,1670.62
21.04,1535.263
21.1715,993.849
21.303,793.691
21.4345,1042.927
21.566,1449.478
21.6975,1665.937
21.829,2091.829
21.9605,2615.266
22.092,2582.551
22.2235,1973.996
22.355,1328.31
22.4865,971.394
22.618,861.813
22.7495,734.097
22.881,634.051
23.0125,539.006
23.144,932.848
23.2755,2266.575
23.407,3849.546
23.5385,3865.759
23.67,2650.795
23.8015,2097.945
23.933,1975.5
24.0645,1554.419
24.196,1128.15
24.3275,762.785
24.459,970.207
24.5905,1157.768
24.722,1771.318
24.8535,2344.295
24.985,2372.776
25.1165,2024.969
25.248,1619.885
25.3795,906.728
25.511,707.298
25.6425,531.064
25.774,640.009
25.9055,642.052
26.037,512.038
26.1685,911.42
26.3,867.688
26.4315,1003.22
26.563,1634.522
26.6945,2533.192
26.826,3598.468
26.9575,4161.192
27.089,3230.571
27.2205,2724.468
27.352,2443.038
27.4835,1544.624
27.615,832.821
27.7465,653.697
27.878,1034.2
28.0095,1231.854
28.141,1133.168
28.2725,1112.91
28.404,1503.04
28.5355,1039.874
28.667,891.129
28.7985,967.544
28.93,935.978
29.0615,1140.382
29.193,1656.399
29.3245,2758.077
29.456,4811.562
29.5875,3795.212
29.719,2181.364
29.8505,1944.374
29.982,1805.235
30.1135,1467.826
30.245,1251.879
30.3765,1104.627
30.508,1422.374
30.6395,1655.079
30.771,910.299
30.9025,821.858
31.034,692.855
31.1655,843.142
31.297,1054.605
31.4285,876.457
31.56,723.132
31.6915,464.018
31.823,646.043
31.9545,1027.602
32.086,750.005
32.2175,715.818
32.349,460.097
32.4805,162.452
32.612,210.731
32.7435,557.144
32.875,1217.516
33.0065,1473.027
33.138,1459.357
33.2695,1054.852
33.401,604.338
33.5325,450.687
33.664,392.449
33.7955,972.071
33.927,1178.682
34.0585,1037.154
34.19,812.046
34.3215,881.359
34.453,1469.324
34.5845,4225.567
34.716,11898.937
34.8475,20690.068
34.979,23753.797
35.1105,17590.637
35.242,8614.852
35.3735,3869.019
35.505,2246.655
35.6365,2336.335
35.768,2236.073
35.8995,1381.741
36.031,943.86
36.1625,792.806
36.294,986.139
36.4255,1390.402
36.557,1359.782
36.6885,1397.416
36.82,1123.957
36.9515,1091.207
37.083,1104.313
37.2145,587.715
37.346,223.358
37.4775,578.773
37.609,1104.346
37.7405,1308.454
37.872,886.574
38.0035,544.711
38.135,685.873
38.2665,311.551
38.398,387.805
38.5295,481.816
38.661,465.657
38.7925,285.557
38.924,153.514
39.0555,270.724
39.187,535.612
39.3185,484.649
39.45,480.56
39.5815,290.793
39.713,587.048
39.8445,714.433
39.976,857.107
40.1075,413.154
40.239,237.826
40.3705,225.519
40.502,848.214
40.6335,2110.565
40.765,3912.804
40.8965,5544.745
41.028,4833.692
41.1595,2724.844
41.291,1074.98
41.4225,603.58
41.554,119.679
41.6855,24.705
41.817,52.972
41.9485,137.499
42.08,109.602
42.2115,577.572
42.343,583.647
42.4745,205.913
