Distance,Gray_Value
0,457.119
0.1315,432.398
0.263,276.737
0.3945,457.405
0.526,541.67
0.6575,605.25
0.789,1007.738
0.9205,2297.42
1.052,5664.01
1.1835,7633.042
1.315,9071.757
1.4465,12394.467
1.578,15024.195
1.7095,11000.793
1.841,5317.787
1.9725,2844.045
2.104,3348.28
2.2355,5385.338
2.367,8678.032
2.4985,13206.558
2.63,10622.434
2.7615,5608.413
2.893,3318.908
3.0245,2733.243
3.156,1744.274
3.2875,1850.6
3.419,2679.21
3.5505,3063.211
3.682,2684.479
3.8135,2507.136
3.945,2412.978
4.0765,1740.303
4.208,1233.249
4.3395,1237.566
4.471,1601.346
4.6025,1057.94
4.734,728.281
4.8655,933.625
4.997,1067.391
5.1285,1279.327
5.26,2229.177
5.3915,3473.043
5.523,3350.494
5.6545,3574.272
5.786,3244.226
5.9175,2904.78
6.049,2580.485
6.1805,2041.649
6.312,1490.781
6.4435,942.746
6.575,896.341
6.7065,1031.719
6.838,1132.392
6.9695,1557.839
7.101,1384.94
7.2325,1152.536
7.364,1060.216
7.4955,1062.625
7.627,1022.506
7.7585,1286.821
7.89,1672.899
8.0215,1666.536
8.153,1633.186
8.2845,2246.754
8.416,2989.807
8.5475,3103.676
8.679,2083.872
8.8105,1435.052
8.942,1450.04
9.0735,1555.083
9.205,2038.844
9.3365,2272.481
9.468,2604.148
9.5995,4347.674
9.731,5485.896
9.8625,4100.849
9.994,1443.009
10.1255,774.913
10.257,704.624
10.3885,885.76
10.52,929.568
10.6515,1270.686
10.783,2146.783
10.9145,2769.275
11.046,4864.449
11.1775,10881.718
11.309,18294.184
11.4405,21030.334
11.572,21330.236
11.7035,18297.857
11.835,10145.055
11.9665,4474.522
12.098,2183.56
12.2295,1383.436
12.361,1282.932
12.4925,1183.194
12.624,1441.889
12.7555,1763.737
12.887,1867.297
13.0185,4137.452
13.15,8917.391
13.2815,13639.424
13.413,10865.149
13.5445,6154.482
13.676,4753.822
13.8075,4945.952
13.939,4609.902
14.0705,3279.769
14.202,1994.967
14.3335,1138.421
14.465,676.13
14.5965,610.037
14.728,523.83
14.8595,555.692
14.991,908.502
15.1225,1072.187
15.254,1198.823
15.3855,1877.769
15.517,3559.73
15.6485,3784.997
15.78,3868.666
15.9115,5787.519
16.043,8568.022
16.1745,7710.128
16.306,4230.473
16.4375,1867.183
16.569,1556.53
16.7005,1787.611
16.832,1899.241
16.9635,3076.114
17.095,5452.215
17.2265,5555.956
17.358,3131.357
17.4895,1699.653
17.621,1615.747
17.7525,1191.359
17.884,1209.801
18.0155,1087.406
18.147,1017.168
18.2785,802.883
18.41,503.662
18.5415,707.128
18.673,638.461
18.8045,883.527
18.936,1435.423
19.0675,2586.274
19.199,3996.441
19.3305,6833.753
19.462,13965.728
19.5935,23825.977
19.725,27910.254
19.8565,17614.807
19.988,7861.182
20.1195,5190.465
20.251,5604.672
20.3825,3851.582
20.514,2964.132
20.6455,3234.74
20.777,2650.584
20.9085,2407.582
21.04,2657.997
21.1715,2889.375
21.303,2281.561
21.4345,1221.162
21.566,767.464
21.6975,618.129
21.829,698.02
21.9605,788.05
22.092,832.123
22.2235,828.975
22.355,626.424
22.4865,294.652
22.618,264.326
22.7495,215.721
22.881,252.147
23.0125,410.961
23.144,859.227
23.2755,1360.624
23.407,1672.502
23.5385,1888.694
23.67,1987.446
23.8015,1396.403
23.933,1034.711
24.0645,1041.287
24.196,1367.872
24.3275,1450.12
24.459,779.335
24.5905,629.266
24.722,588.805
24.8535,690.722
24.985,876.82
25.1165,1160.058
25.248,1943.016
25.3795,3708.652
25.511,6784.167
25.6425,5933.424
25.774,3129.909
25.9055,2065.877
26.037,1974.22
26.1685,1750.794
