Distance,Gray_Value
0,6684.896
0.1315,7248.658
0.263,7568.335
0.3945,5910.283
0.526,4555.044
0.6575,4224.997
0.789,4355.388
0.9205,7953.693
1.052,17111.238
1.1835,32139.23
1.315,40867.59
1.4465,46483.012
1.578,49960.438
1.7095,47902.059
1.841,32116.5
1.9725,13581.361
2.104,7114.027
2.2355,4799.923
2.367,4040.911
2.4985,3273.348
2.63,3670.078
2.7615,2968.608
2.893,2124.256
3.0245,1842.13
3.156,2268.728
3.2875,3316.604
3.419,4764.921
3.5505,5630.233
3.682,6295.791
3.8135,5446.098
3.945,3867.24
4.0765,2584.36
4.208,2759.996
4.3395,3313.025
4.471,3411.629
4.6025,4182.773
4.734,4655.654
4.8655,5168.654
4.997,5010.819
5.1285,4303.953
5.26,4474.109
5.3915,4557.156
5.523,3983
5.6545,4404.54
5.786,4116.349
5.9175,4483.866
6.049,3925.719
6.1805,4775.209
6.312,5461.518
6.4435,6072.189
6.575,5033.413
6.7065,4322.04
6.838,4258.421
6.9695,4537.937
7.101,5067.394
7.2325,5941.371
7.364,8994.969
7.4955,10066.024
7.627,9274.759
7.7585,9314.395
7.89,8783.395
8.0215,8962.037
8.153,7919.364
8.2845,6795.23
8.416,7040.651
8.5475,7635.489
8.679,7563.826
8.8105,7420.555
8.942,5864.88
9.0735,4982.354
9.205,4644.679
9.3365,6440.783
9.468,11015.199
9.5995,18043.641
9.731,28436.148
9.8625,40887.105
9.994,41752.172
10.1255,29919.443
10.257,12637.291
10.3885,4610.788
10.52,2508.986
10.6515,2117.803
10.783,2204.517
10.9145,2650.123
11.046,2856.724
11.1775,3322.144
11.309,2911.106
11.4405,2590.93
11.572,2548.56
11.7035,2291.085
11.835,2437.009
11.9665,2836.685
12.098,3520.063
12.2295,3843.504
12.361,3846.044
12.4925,4532.936
12.624,4842.777
12.7555,5012.259
12.887,7623.875
13.0185,15963.928
13.15,27122.826
13.2815,33218.469
13.413,31542.527
13.5445,34389.051
13.676,38837.344
13.8075,29558.873
13.939,23016.234
14.0705,17001.873
14.202,12734.865
14.3335,12925.175
14.465,17931.721
14.5965,20788.541
14.728,18623.432
14.8595,24575.426
14.991,42120.066
15.1225,48776.586
15.254,44232.738
15.3855,26097.633
15.517,11292.33
15.6485,6080.145
15.78,4507.403
15.9115,5172.098
16.043,5627.089
16.1745,6148.804
16.306,8621.886
16.4375,10557.343
16.569,12484.502
16.7005,17860.502
16.832,22190.973
16.9635,26970.16
17.095,30977.006
17.2265,29305.592
17.358,21615.654
17.4895,15053.02
17.621,11714.711
17.7525,10938.304
17.884,8285.576
18.0155,6323.147
18.147,5318.138
18.2785,5047.303
18.41,5196.265
18.5415,6354.504
18.673,8403.289
18.8045,9328.698
18.936,13877.529
19.0675,24064.717
19.199,28506.291
19.3305,20511.688
19.462,10124.472
19.5935,5435.868
19.725,3855.349
19.8565,3384.798
19.988,3789.834
20.1195,4659.318
20.251,4910.285
20.3825,5841.924
20.514,7355.796
20.6455,7912.753
20.777,7914.361
20.9085,7301.417
21.04,6629.585
21.1715,6326.143
21.303,6137.833
21.4345,6258.401
21.566,6308.841
21.6975,7112.434
21.829,9916.681
21.9605,10679.387
22.092,10476.451
22.2235,8716.367
22.355,8792.56
22.4865,9551.094
22.618,10733.607
22.7495,11598.932
22.881,12954.314
23.0125,11060.57
23.144,8264.629
23.2755,8968.612
23.407,10773.523
23.5385,10780.796
23.67,12446.888
23.8015,15975.41
23.933,17108.934
24.0645,16913.773
24.196,16500.91
24.3275,17797.436
24.459,16412.846
24.5905,13523.996
24.722,9885.092
24.8535,8059.713
24.985,7979.369
25.1165,6546.498
25.248,6248.963
25.3795,7194.518
25.511,9396.241
25.6425,11315.719
25.774,9565.388
25.9055,6872.979
26.037,5567.492
26.1685,4837.123
26.3,6065.591
26.4315,6476.379
26.563,7512.709
26.6945,10547.251
26.826,18377.318
26.9575,32861.203
27.089,41574.578
27.2205,39024.512
27.352,19814.326
27.4835,7519.66
27.615,4032.992
27.7465,3871.717
27.878,4552.12
28.0095,5033.704
28.141,5784.558
28.2725,6829.969
28.404,7933.304
28.5355,8228.442
28.667,7555.639
28.7985,6037.982
28.93,5467.198
29.0615,6325.104
29.193,6327.321
29.3245,4056.294
