Distance,Gray_Value
0,8150.586
0.1315,6314.104
0.263,6505.234
0.3945,5862.006
0.526,4658.997
0.6575,4209.245
0.789,5134.836
0.9205,7925.262
1.052,11586.29
1.1835,18059.316
1.315,23249.586
1.4465,24176.686
1.578,34789.258
1.7095,41108.266
1.841,42037.633
1.9725,36659.156
2.104,22156.361
2.2355,11150.229
2.367,6200.533
2.4985,4037.546
2.63,4281.911
2.7615,5396.494
2.893,5237.424
3.0245,4074.897
3.156,3002.506
3.2875,3622.335
3.419,5445.957
3.5505,9993.736
3.682,18647.516
3.8135,33561.973
3.945,42859.379
4.0765,43144.363
4.208,39347.34
4.3395,28700.303
4.471,18347.945
4.6025,16697.385
4.734,18488.451
4.8655,24281.752
4.997,33504.574
5.1285,36321.324
5.26,33041.094
5.3915,24136.127
5.523,20928.766
5.6545,29028.395
5.786,42600.629
5.9175,45544.238
6.049,43178.535
6.1805,37907.828
6.312,20911.424
6.4435,12031.656
6.575,9229.6
6.7065,9661.69
6.838,11891.127
6.9695,13752.55
7.101,14413.295
7.2325,13046.034
7.364,10442.092
7.4955,10581.54
7.627,9559.632
7.7585,8604.814
7.89,9680.818
8.0215,11630.686
8.153,10682.196
8.2845,10684.31
8.416,10904.203
8.5475,9255.992
8.679,8060.643
8.8105,8299.049
8.942,8636.535
9.0735,8480.462
9.205,6666.75
9.3365,5320.949
9.468,4790.834
9.5995,5452.506
9.731,6504.839
9.8625,7005.661
9.994,6276.391
10.1255,3893.723
10.257,2782.075
10.3885,2298.908
10.52,3125.861
10.6515,3957.285
10.783,6010.786
10.9145,6641.012
11.046,6825.78
11.1775,6312.038
11.309,4943.476
11.4405,5335.473
11.572,5331.266
11.7035,6245.583
11.835,8347.092
11.9665,11866.45
12.098,15689.156
12.2295,20092.049
12.361,28532.67
12.4925,41660.547
12.624,45540.602
12.7555,37827.926
12.887,18368.9
13.0185,7316.579
13.15,6904.606
13.2815,8621.332
13.413,10766.201
13.5445,13268.621
13.676,19156.367
13.8075,20419.303
13.939,15127.434
14.0705,11309.935
14.202,9771.769
14.3335,10064.291
14.465,11072.729
14.5965,13645.249
14.728,15871.879
14.8595,15494.152
14.991,16160.073
15.1225,18583.24
15.254,22184.406
15.3855,27803.383
15.517,33604.812
15.6485,32349.408
15.78,26587.352
15.9115,23830.639
16.043,18311.994
16.1745,16868.477
16.306,17059.379
16.4375,19087.436
16.569,20884.191
16.7005,25283.293
16.832,29756.053
16.9635,31984.98
17.095,35850.582
17.2265,35989.844
17.358,32206.482
17.4895,31998.311
17.621,27619.893
17.7525,21013.449
17.884,18623.967
18.0155,20520.033
18.147,35609.449
18.2785,52739.816
18.41,59855.754
18.5415,60504.781
18.673,57696.008
18.8045,49347.023
18.936,28675.094
19.0675,12099.895
19.199,7352.638
19.3305,6224.691
19.462,6274.481
19.5935,8837.509
19.725,17697.223
19.8565,31048.812
19.988,40593.879
20.1195,32977.012
20.251,16960.203
20.3825,7394.907
20.514,5867.415
20.6455,5864.727
20.777,8397.018
20.9085,10843.491
21.04,9811.614
21.1715,6390.312
21.303,5127.058
21.4345,5710.459
21.566,7845.624
21.6975,12684.613
21.829,16032.752
21.9605,16440.418
22.092,13903.112
22.2235,10819.658
22.355,10380.424
22.4865,18094.6
22.618,27696.016
22.7495,25105.164
22.881,14799.78
23.0125,7944.552
23.144,5792.962
23.2755,6168.802
23.407,6111.04
23.5385,4673.008
23.67,4642.686
23.8015,5595.773
23.933,5917.225
24.0645,5916.342
24.196,7665.354
24.3275,10395.121
24.459,13478.647
24.5905,16996.602
24.722,27872.023
24.8535,40294.434
24.985,45543.293
25.1165,40904.812
25.248,24726.279
25.3795,13099.626
25.511,9711.14
25.6425,10338.816
25.774,12254.59
25.9055,13726.697
26.037,13880.449
26.1685,15412.889
26.3,12967.54
26.4315,8191.859
26.563,6171.793
26.6945,4993.449
26.826,4599.821
26.9575,5795.679
27.089,6840.045
27.2205,8470.117
27.352,10407.497
27.4835,9799.337
27.615,11118.598
27.7465,11694.17
27.878,10811.284
28.0095,11158.632
28.141,9507.365
28.2725,10334.812
28.404,11227.734
28.5355,9712.43
28.667,8999.354
28.7985,6182.905
28.93,3918.171
29.0615,4243.664
29.193,8458.714
29.3245,13169.133
29.456,15669.949
29.5875,15457.641
29.719,15611.881
29.8505,18513.938
29.982,23644.773
30.1135,36281.137
30.245,44664.289
30.3765,48612.621
30.508,51082.094
30.6395,52676.918
30.771,49152.84
30.9025,45076.012
31.034,38824.918
31.1655,34136.984
31.297,30847.637
31.4285,22094.07
31.56,16008.98
31.6915,12778.6
31.823,11378.118
31.9545,11070.844
32.086,12210.946
32.2175,14946.097
32.349,30149.85
32.4805,42079.965
32.612,40895.395
32.7435,29221.4
32.875,19072.863
33.0065,13197.836
33.138,12974.083
33.2695,13996.926
33.401,13838.465
33.5325,16674.537
33.664,20341.963
33.7955,22199.965
33.927,19735.229
34.0585,16198.297
34.19,16227.692
34.3215,16342.514
34.453,14990.019
34.5845,14792.23
34.716,17842.75
34.8475,22662.959
34.979,20503.4
35.1105,15456.59
35.242,13973.516
35.3735,12105.804
35.505,11716.298
35.6365,11046.352
35.768,8199.298
35.8995,6113.511
36.031,5234.454
36.1625,4120.638
36.294,3874.487
36.4255,4674.95
36.557,5900.896
36.6885,6183.514
36.82,6993.447
36.9515,8271.646
37.083,7293.396
37.2145,5678.447
37.346,5097.194
37.4775,7781.848
37.609,15398.168
37.7405,32162.418
37.872,43560.156
38.0035,46675.727
38.135,46429.609
38.2665,44558.93
38.398,43512.16
38.5295,42389.578
38.661,39365.016
38.7925,26996.588
38.924,15705.29
39.0555,12975.296
39.187,12527.801
39.3185,8732.454
39.45,6341.71
39.5815,4952.933
39.713,4803.242
39.8445,4777.097
39.976,4122.8
40.1075,3767.875
40.239,4821.692
40.3705,8692.371
40.502,13721.653
40.6335,20837.432
40.765,23649.227
40.8965,32692.172
41.028,40907.559
41.1595,33309.395
41.291,16061.286
41.4225,9135.108
41.554,8246.938
41.6855,11633.842
41.817,14254.013
41.9485,13501.863
42.08,8657.616
42.2115,4960.221
42.343,4013.214
42.4745,3559.519
42.606,4095.851
42.7375,4659.799
42.869,5241.622
43.0005,5511.808
43.132,4808.788
43.2635,5849.768
43.395,5912.119
43.5265,5514.192
43.658,6160.7
43.7895,10776.61
43.921,27720.625
44.0525,42541.52
44.184,45345.031
44.3155,42754.988
44.447,35916.609
